,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,,2019-11-22T01:01:48+00:00,,KSD,A,CVR,,Hotspot,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,L,-20
,,2019-11-22T00:45:29+00:00,,KSD,A,-RNG-,,North,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,W,17
,,2019-11-21T03:29:23+00:00,,KSD,A,AP,,Warrior's Path,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,2,,,1,,,1,,,L,-17
,,2019-11-21T03:09:05+00:00,,KSD,A,UR,,North,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,2,,,1,,,,,,L,-19
,,2019-11-21T02:50:34+00:00,,KSD,A,CVR,,Sea of Fortune,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,L,-21
,,2019-11-21T02:31:18+00:00,,KSD,A,KILL,,Hotspot,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,,,1,,2,,,1,,,,,,W,16
,,2019-11-21T02:14:59+00:00,,KSD,A,-BN-,,Shards,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,L,-19
,,2019-11-21T01:51:56+00:00,,KSD,A,QQ7,,North,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,1,1,,1,,,,,,,,,W,19
,,2019-11-21T01:32:06+00:00,,KSD,A,-BRS-,,Warrior's Path,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,2,,,1,,,1,,,,,,W,20
,,2019-11-21T01:13:47+00:00,,KSD,A,5D,,Land of Fire,,,,,,,,,,,,1,1,,,,,,,,1,2,,,,,,,,,1,,,,,,,,1,,,W,15
,,2019-11-21T00:58:08+00:00,,KSD,A,-WTP-,,Crash Zone Alpha,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,W,18
,,2019-11-21T00:44:04+00:00,,KSD,A,PN,,Sea of Fortune,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,1,,,L,-20
,,2019-11-18T04:04:11+00:00,,KSD,A,SALVO,,Land of Fire,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,1,,1,,,,,,1,,,W,18
,,2019-11-18T03:47:49+00:00,,KSD,A,R-F1,,Crash Zone Alpha,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,W,56
,,2019-11-18T03:36:06+00:00,,KSD,A,-BN-,,Warrior's Path,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,L,0
,,2019-11-18T03:19:46+00:00,,KSD,A,FORM,,North,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,W,0
