,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,10,,1.2,KSC,A,SCCC,3,Sea of Fortune,,1,,,1,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,,1,1,,,,-,,W,S
,11,,1.2,KSC,A,KWA,69,Shards,,1,,1,,,,,,,1,1,,,,,,,,1,,,1,,,,,,2,,,,,,,,,,-,,W,S
,12,,1.2,KSC,A,CUTE,22,Hotspot,,,,,1,,,,1,,,1,,,,2,,,,1,,,1,,,1,,,,,,,,,,,,,-,,L,-24
,13,,1.2,KSC,A,WDWTS,181,Shards,,,,,1,,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,3,,,,-,,L,-17
,14,,1.2,KSC,A,PHU,102,Crash Zone Alpha,,,,,2,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,2,,,,,-,,W,30
,15,,1.2,KSC,B,STW,31,Hotspot,,,,1,1,,,,,,,1,,,,1,,1,,,1,,,,,,,,,1,,,,1,,,,,-,,W,31
,16,,1.2,KSC,B,-MM-,95,Shards,,1,,,1,,,,,,,1,,1,,,,,,,1,,1,,,1,,,1,,,,,,,,,,-,,W,31
,17,,1.2,KSC,B,AP,12,Sea of Fortune,,,1,,1,,,,,,,3,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,-,,W,30
,18,,1.2,KSC,B,TNG,15,Hotspot,,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,-,,W,32
,19,,1.2,KSC,B,RELAX,154,Shards,,,,,1,,,,,1,1,1,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,-,,W,31
